date,home_team,away_team,tournament,country,neutral
2026-01-07,Saudi Arabia,Palestine,Asian Cup,Saudi Arabia,False
2026-01-08,Uzbekistan,Jordan,Asian Cup,Saudi Arabia,True
2026-01-08,Bahrain,North Korea,Asian Cup,Saudi Arabia,True
2026-01-08,Kuwait,Oman,Asian Cup,Saudi Arabia,True
2026-01-09,Australia,Singapore,Asian Cup,Saudi Arabia,True
2026-01-09,Iran,China,Asian Cup,Saudi Arabia,True
2026-01-09,Syria,Kyrgyzstan,Asian Cup,Saudi Arabia,True
2026-01-10,South Korea,Yemen,Asian Cup,Saudi Arabia,True
2026-01-10,Tajikistan,Iraq,Asian Cup,Saudi Arabia,True
2026-01-10,United Arab Emirates,Vietnam,Asian Cup,Saudi Arabia,True
2026-01-11,Japan,Indonesia,Asian Cup,Saudi Arabia,True
2026-01-11,Qatar,Thailand,Asian Cup,Saudi Arabia,True
2026-01-12,Palestine,Kuwait,Asian Cup,Saudi Arabia,True
2026-01-12,Saudi Arabia,Oman,Asian Cup,Saudi Arabia,False
2026-01-13,Jordan,Bahrain,Asian Cup,Saudi Arabia,True
2026-01-13,Kyrgyzstan,Iran,Asian Cup,Saudi Arabia,True
2026-01-13,North Korea,Uzbekistan,Asian Cup,Saudi Arabia,True
2026-01-14,Singapore,Tajikistan,Asian Cup,Saudi Arabia,True
2026-01-14,Iraq,Australia,Asian Cup,Saudi Arabia,True
2026-01-14,China,Syria,Asian Cup,Saudi Arabia,True
2026-01-15,United Arab Emirates,Yemen,Asian Cup,Saudi Arabia,True
2026-01-15,Vietnam,South Korea,Asian Cup,Saudi Arabia,True
2026-01-16,Indonesia,Qatar,Asian Cup,Saudi Arabia,True
2026-01-16,Thailand,Japan,Asian Cup,Saudi Arabia,True
2026-01-17,Oman,Palestine,Asian Cup,Saudi Arabia,True
2026-01-17,Saudi Arabia,Kuwait,Asian Cup,Saudi Arabia,False
2026-01-18,Iran,Syria,Asian Cup,Saudi Arabia,True
2026-01-18,Kyrgyzstan,China,Asian Cup,Saudi Arabia,True
2026-01-18,Uzbekistan,Bahrain,Asian Cup,Saudi Arabia,True
2026-01-18,North Korea,Jordan,Asian Cup,Saudi Arabia,True
2026-01-19,Australia,Tajikistan,Asian Cup,Saudi Arabia,True
2026-01-19,Iraq,Singapore,Asian Cup,Saudi Arabia,True
2026-01-20,Vietnam,Yemen,Asian Cup,Saudi Arabia,True
2026-01-20,Japan,Qatar,Asian Cup,Saudi Arabia,True
2026-01-20,South Korea,United Arab Emirates,Asian Cup,Saudi Arabia,True
2026-01-20,Thailand,Indonesia,Asian Cup,Saudi Arabia,True
2026-09-17,Fiji,Solomon Islands,Melanesian Cup,Fiji,False
2026-09-17,Papua New Guinea,Vanuatu,Melanesian Cup,Fiji,True
2026-09-18,Kuwait,Yemen,Friendly,Saudi Arabia,True
2026-09-20,Fiji,Vanuatu,Melanesian Cup,Fiji,False
2026-09-20,New Caledonia,Solomon Islands,Melanesian Cup,Fiji,True
2026-09-21,Dominica,Anguilla,Friendly,Dominica,False
2026-09-23,Turks and Caicos Islands,Montserrat,CONCACAF League C,Turks and Caicos Islands,False
2026-09-23,Bahamas,Saint Martin,CONCACAF League C,US Virgin Islands,True
2026-09-23,Antigua and Barbuda,Aruba,CONCACAF League C,Antigua and Barbuda,False
2026-09-23,Azerbaijan,Tajikistan,Friendly,Azerbaijan,False
2026-09-23,Saudi Arabia,Kuwait,Gulf Cup,Saudi Arabia,False
2026-09-23,Iraq,Oman,Gulf Cup,Saudi Arabia,True
2026-09-23,Solomon Islands,Vanuatu,Melanesian Cup,Fiji,True
2026-09-23,New Caledonia,Papua New Guinea,Melanesian Cup,Fiji,True
2026-09-24,Netherlands,Germany,European League A,Netherlands,False
2026-09-24,Norway,Denmark,European League A,Norway,False
2026-09-24,Portugal,Wales,European League A,Portugal,False
2026-09-24,Serbia,Greece,European League A,Serbia,False
2026-09-24,South Korea,Ecuador,Friendly,South Korea,False
2026-09-24,Austria,Israel,European League B,Austria,False
2026-09-24,Andorra,Malta,European League D,Andorra,False
2026-09-24,United Arab Emirates,Yemen,Gulf Cup,Saudi Arabia,True
2026-09-24,Bahrain,Qatar,Gulf Cup,Saudi Arabia,True
2026-09-24,East Timor,Myanmar,Southeast Asian Cup,Hong Kong,True
2026-09-24,Brunei,Laos,Southeast Asian Cup,Hong Kong,True
2026-09-24,Tunisia,Uganda,African Cup qualifier,Tunisia,False
2026-09-24,Sierra Leone,Zimbabwe,African Cup qualifier,Liberia,True
2026-09-24,Kosovo,Ireland,European League B,Kosovo,False
2026-09-24,Libya,Botswana,African Cup qualifier,Libya,False
2026-09-24,DR Congo,Equatorial Guinea,African Cup qualifier,DR Congo,False
2026-09-24,Congo,Namibia,African Cup qualifier,Botswana,True
2026-09-24,Japan,Uruguay,Friendly,Japan,False
2026-09-24,Central African Republic,Mauritania,African Cup qualifier,Morocco,True
2026-09-24,Cameroon,Comoros,African Cup qualifier,Cameroon,False
2026-09-24,Liechtenstein,Lithuania,European League D,Liechtenstein,False
2026-09-24,Ivory Coast,Ghana,African Cup qualifier,Ivory Coast,False
2026-09-24,China,Palestine,Friendly tournament,China,False
2026-09-24,New Zealand,Turkmenistan,Friendly tournament,China,True
2026-09-24,Uzbekistan,Iran,Friendly,Uzbekistan,False
2026-09-24,Costa Rica,Curaçao,CONCACAF League A,Costa Rica,False
2026-09-24,Dominican Republic,Nicaragua,CONCACAF League A,Dominican Rep,True
2026-09-24,Haiti,Trinidad and Tobago,CONCACAF League A,Jamaica,True
2026-09-24,Cayman Islands,Dominica,CONCACAF League B,Cayman Islands,False
2026-09-24,Guyana,Puerto Rico,CONCACAF League B,Dominica,True
2026-09-25,Bermuda,Guadeloupe,CONCACAF League B,Saint Lucia,True
2026-09-25,Mali,Cape Verde,African Cup qualifier,Mali,False
2026-09-25,Jamaica,Guatemala,CONCACAF League A,Jamaica,False
2026-09-25,Morocco,Gabon,African Cup qualifier,Morocco,False
2026-09-25,Nigeria,Madagascar,African Cup qualifier,Nigeria,False
2026-09-25,Rwanda,Liberia,African Cup qualifier,Rwanda,False
2026-09-25,Senegal,Mozambique,African Cup qualifier,Senegal,False
2026-09-25,Indonesia,Singapore,Southeast Asian Cup,Indonesia,False
2026-09-25,Togo,Burundi,African Cup qualifier,Togo,False
2026-09-25,Bangladesh,Malaysia,Southeast Asian Cup,Indonesia,True
2026-09-25,Malawi,South Sudan,African Cup qualifier,Malawi,False
2026-09-25,Australia,Brazil,Friendly,Australia,False
2026-09-25,India,Panama,Friendly,India,False
2026-09-25,El Salvador,Martinique,CONCACAF League A,El Salvador,False
2026-09-25,Tanzania,Guinea-Bissau,African Cup qualifier,Tanzania,False
2026-09-25,Lesotho,Niger,African Cup qualifier,Ghana,True
2026-09-25,Egypt,Angola,African Cup qualifier,Egypt,False
2026-09-25,Ethiopia,Sudan,African Cup qualifier,South Sudan,True
2026-09-25,Honduras,Suriname,CONCACAF League A,Honduras,False
2026-09-25,Burkina Faso,Benin,African Cup qualifier,Burkina Faso,False
2026-09-25,Algeria,Zambia,African Cup qualifier,Algeria,False
2026-09-25,Montenegro,Cyprus,European League C,Montenegro,False
2026-09-25,Armenia,Latvia,European League C,Armenia,False
