date,home_team,away_team,home_score,away_score,tournament,country,neutral,match_id,history_home_team,history_away_team,home_points_before,away_points_before,expected_result,calculated_result,home_points_after,away_points_after,home_rank,away_rank,home_points_off_before,away_points_off_before,home_points_def_before,away_points_def_before,expected_score_1,expected_score_2,home_points_off_after,away_points_off_after,home_points_def_after,away_points_def_after,home_rank_off,away_rank_off,home_rank_def,away_rank_def
2026-05-28,Ireland,Qatar,1,0,Friendly,Ireland,False,51497,Ireland,Qatar,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Egypt,Russia,1,0,Friendly,Egypt,False,51498,Egypt,Russia,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,South Africa,Nicaragua,0,0,Friendly,South Africa,False,51499,South Africa,Nicaragua,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Iraq,Andorra,1,0,Friendly,Spain,True,51500,Iraq,Andorra,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Iran,Gambia,3,1,Friendly,Turkey,True,51501,Iran,Gambia,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Bosnia and Herzegovina,North Macedonia,0,0,Friendly,Bosnia and Herzegovina,False,51502,Bosnia and Herzegovina,North Macedonia,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Scotland,Curaçao,4,1,Friendly,Scotland,False,51503,Scotland,Curaçao,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Zimbabwe,India,1,0,Unity Cup,England,True,51504,Zimbabwe,India,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Nigeria,Jamaica,3,0,Unity Cup,England,True,51505,Nigeria,Jamaica,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Ecuador,Saudi Arabia,2,1,Friendly,United States,True,51506,Ecuador,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,South Korea,Trinidad and Tobago,5,0,Friendly,United States,True,51507,South Korea,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Mexico,Australia,1,0,Friendly,United States,True,51508,Mexico,Australia,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,United States,Senegal,3,2,Friendly,United States,False,51509,United States,Senegal,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Switzerland,Jordan,4,1,Friendly,Switzerland,False,51510,Switzerland,Jordan,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Singapore,Mongolia,4,0,Friendly,Singapore,False,51511,Singapore,Mongolia,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Poland,Ukraine,0,2,Friendly,Poland,False,51512,Poland,Ukraine,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Japan,Iceland,1,0,Friendly,Japan,False,51513,Japan,Iceland,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Germany,Finland,4,0,Friendly,Germany,False,51514,Germany,Finland,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Czechia,Kosovo,2,1,Friendly,Czechia,False,51515,Czechia,Kosovo,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Cape Verde,Serbia,3,0,Friendly,Portugal,True,51516,Cape Verde,Serbia,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Brazil,Panama,6,2,Friendly,Brazil,False,51517,Brazil,Panama,,,,,,,,,,,,,,,,,,,,,,
