date,team,points,points_off,points_def
2025-12-31,Afghanistan,,,
2026-01-31,Afghanistan,,,
2026-02-28,Afghanistan,,,
2026-03-31,Afghanistan,4289.0,4556.808259398767,4439.900797917372
2026-04-30,Afghanistan,4289.0,4556.808259398767,4439.900797917372
2026-05-28,Afghanistan,4289.0,4556.808259398767,4439.900797917372
2025-12-31,Albania,,,
2026-01-31,Albania,,,
2026-02-28,Albania,,,
2026-03-31,Albania,5141.0,4928.920758086064,4931.775132298557
2026-04-30,Albania,5141.0,4928.920758086064,4931.775132298557
2026-05-28,Albania,5141.0,4928.920758086064,4931.775132298557
2025-12-31,Algeria,5231.0,5175.718860312106,4830.051282051282
2026-01-31,Algeria,5203.0,5134.1054618560265,4844.310310969879
2026-02-28,Algeria,5203.0,5134.1054618560265,4844.310310969879
2026-03-31,Algeria,5241.0,5156.99795240932,4892.013215468425
2026-04-30,Algeria,5241.0,5156.99795240932,4892.013215468425
2026-05-28,Algeria,5241.0,5156.99795240932,4892.013215468425
2025-12-31,Andorra,,,
2026-01-31,Andorra,,,
2026-02-28,Andorra,,,
2026-03-31,Andorra,4682.0,4563.425671602562,4676.8375142088535
2026-04-30,Andorra,4682.0,4563.425671602562,4676.8375142088535
2026-05-28,Andorra,4682.0,4563.425671602562,4676.8375142088535
2025-12-31,Angola,,,
2026-01-31,Angola,,,
2026-02-28,Angola,,,
2026-03-31,Angola,,,
2026-04-30,Angola,,,
2026-05-28,Angola,5013.0,4965.0,4819.0
2025-12-31,Anguilla,,,
2026-01-31,Anguilla,,,
2026-02-28,Anguilla,,,
2026-03-31,Anguilla,3585.0,4202.284697330683,4027.2958867310126
2026-04-30,Anguilla,3585.0,4202.284697330683,4027.2958867310126
2026-05-28,Anguilla,3585.0,4202.284697330683,4027.2958867310126
2025-12-31,Antigua and Barbuda,,,
2026-01-31,Antigua and Barbuda,,,
2026-02-28,Antigua and Barbuda,,,
2026-03-31,Antigua and Barbuda,,,
2026-04-30,Antigua and Barbuda,,,
2026-05-28,Antigua and Barbuda,4058.0,4381.0,4290.0
2025-12-31,Argentina,,,
2026-01-31,Argentina,,,
2026-02-28,Argentina,,,
2026-03-31,Argentina,5598.0,5299.833713379647,5107.051282051282
2026-04-30,Argentina,5598.0,5299.833713379647,5107.051282051282
2026-05-28,Argentina,5598.0,5299.833713379647,5107.051282051282
2025-12-31,Armenia,,,
2026-01-31,Armenia,,,
2026-02-28,Armenia,,,
2026-03-31,Armenia,4789.0,4907.3619677994775,4578.705250567842
2026-04-30,Armenia,4789.0,4907.3619677994775,4578.705250567842
2026-05-28,Armenia,4789.0,4907.3619677994775,4578.705250567842
2025-12-31,Aruba,,,
2026-01-31,Aruba,,,
2026-02-28,Aruba,,,
2026-03-31,Aruba,4261.0,4632.099712325872,4364.093875369486
2026-04-30,Aruba,4261.0,4632.099712325872,4364.093875369486
2026-05-28,Aruba,4261.0,4632.099712325872,4364.093875369486
2025-12-31,Australia,,,
2026-01-31,Australia,,,
2026-02-28,Australia,,,
2026-03-31,Australia,5257.0,5080.897165455934,4937.051282051282
2026-04-30,Australia,5257.0,5080.897165455934,4937.051282051282
2026-05-28,Australia,5257.0,5080.897165455934,4937.051282051282
2025-12-31,Austria,,,
2026-01-31,Austria,,,
2026-02-28,Austria,,,
2026-03-31,Austria,5369.0,5135.520508394272,4956.051282051282
2026-04-30,Austria,5369.0,5135.520508394272,4956.051282051282
2026-05-28,Austria,5369.0,5135.520508394272,4956.051282051282
2025-12-31,Azerbaijan,,,
2026-01-31,Azerbaijan,,,
2026-02-28,Azerbaijan,,,
2026-03-31,Azerbaijan,4810.0,4833.087590300036,4636.943187933642
2026-04-30,Azerbaijan,4810.0,4833.087590300036,4636.943187933642
2026-05-28,Azerbaijan,4810.0,4833.087590300036,4636.943187933642
2025-12-31,Bahamas,,,
2026-01-31,Bahamas,,,
2026-02-28,Bahamas,,,
2026-03-31,Bahamas,3554.0,4348.856904566857,3837.957327256401
2026-04-30,Bahamas,3554.0,4348.856904566857,3837.957327256401
2026-05-28,Bahamas,3554.0,4348.856904566857,3837.957327256401
2025-12-31,Bahrain,,,
2026-01-31,Bahrain,,,
2026-02-28,Bahrain,,,
2026-03-31,Bahrain,,,
2026-04-30,Bahrain,,,
2026-05-28,Bahrain,4788.0,4801.0,4700.0
2025-12-31,Bangladesh,,,
2026-01-31,Bangladesh,,,
2026-02-28,Bangladesh,,,
2026-03-31,Bangladesh,4234.0,4386.0,4406.914075168186
2026-04-30,Bangladesh,4234.0,4386.0,4406.914075168186
2026-05-28,Bangladesh,4234.0,4386.0,4406.914075168186
2025-12-31,Barbados,,,
2026-01-31,Barbados,,,
2026-02-28,Barbados,,,
2026-03-31,Barbados,4059.0,4573.938273240851,4205.180554101467
2026-04-30,Barbados,4059.0,4573.938273240851,4205.180554101467
2026-05-28,Barbados,4059.0,4573.938273240851,4205.180554101467
2025-12-31,Belarus,,,
2026-01-31,Belarus,,,
2026-02-28,Belarus,,,
2026-03-31,Belarus,4981.0,4923.293415174665,4848.722213131486
2026-04-30,Belarus,4981.0,4923.293415174665,4848.722213131486
2026-05-28,Belarus,4981.0,4923.293415174665,4848.722213131486
2025-12-31,Belgium,,,
2026-01-31,Belgium,,,
2026-02-28,Belgium,,,
2026-03-31,Belgium,5460.0,5257.961298071513,4964.881712991812
2026-04-30,Belgium,5460.0,5257.961298071513,4964.881712991812
2026-05-28,Belgium,5460.0,5257.961298071513,4964.881712991812
2025-12-31,Belize,,,
2026-01-31,Belize,,,
2026-02-28,Belize,,,
2026-03-31,Belize,4330.0,4595.132186865849,4425.563159267495
2026-04-30,Belize,4330.0,4595.132186865849,4425.563159267495
