date,year,month,day,team,reference_team,points,points_off,points_def,ranking,ranking_off,ranking_def
2025-12-31 00:00:00,2025,12,31,Spain,Spain,5703,5396,5058,1,1,6
2025-12-31 00:00:00,2025,12,31,Argentina,Argentina,5598,5299,5107,2,3,3
2025-12-31 00:00:00,2025,12,31,France,France,5569,5283,5059,3,5,5
2025-12-31 00:00:00,2025,12,31,Portugal,Portugal,5564,5282,5013,4,6,10
2025-12-31 00:00:00,2025,12,31,England,England,5562,5200,5062,5,14,4
2025-12-31 00:00:00,2025,12,31,Germany,Germany,5541,5290,4925,6,4,30
2025-12-31 00:00:00,2025,12,31,Netherlands,Netherlands,5538,5308,4957,7,2,19
2025-12-31 00:00:00,2025,12,31,Norway,Norway,5534,5265,4953,8,8,22
2025-12-31 00:00:00,2025,12,31,Brazil,Brazil,5516,5282,5051,9,7,8
2025-12-31 00:00:00,2025,12,31,Colombia,Colombia,5510,5254,5033,10,10,9
2025-12-31 00:00:00,2025,12,31,Belgium,Belgium,5460,5257,4964,11,9,17
2025-12-31 00:00:00,2025,12,31,Switzerland,Switzerland,5447,5224,4978,12,11,15
2025-12-31 00:00:00,2025,12,31,Japan,Japan,5437,5204,4978,13,13,14
2025-12-31 00:00:00,2025,12,31,Denmark,Denmark,5423,5223,4948,14,12,23
2025-12-31 00:00:00,2025,12,31,Croatia,Croatia,5422,5187,4975,15,15,16
2025-12-31 00:00:00,2025,12,31,Ecuador,Ecuador,5417,5077,5129,16,31,1
2025-12-31 00:00:00,2025,12,31,Uruguay,Uruguay,5383,5074,5121,17,33,2
2025-12-31 00:00:00,2025,12,31,Turkey,Turkey,5382,5175,4919,18,17,32
2025-12-31 00:00:00,2025,12,31,Italy,Italy,5379,5160,4924,19,19,31
2025-12-31 00:00:00,2025,12,31,Austria,Austria,5369,5135,4956,20,21,20
2025-12-31 00:00:00,2025,12,31,Morocco,Morocco,5324,5099,4911,21,28,35
2025-12-31 00:00:00,2025,12,31,Paraguay,Paraguay,5322,5061,5012,22,35,11
2025-12-31 00:00:00,2025,12,31,Russia,Russia,5321,5129,4898,23,22,39
2025-12-31 00:00:00,2025,12,31,Mexico,Mexico,5314,5006,5055,24,49,7
2025-12-31 00:00:00,2025,12,31,Senegal,Senegal,5306,5166,4954,25,18,21
2025-12-31 00:00:00,2025,12,31,Greece,Greece,5300,5105,4940,26,27,26
2025-12-31 00:00:00,2025,12,31,Scotland,Scotland,5285,5091,4889,27,29,43
2025-12-31 00:00:00,2025,12,31,Australia,Australia,5253,5060,4942,28,36,24
2025-12-31 00:00:00,2025,12,31,Sweden,Sweden,5252,5157,4798,29,20,77
